geo_code,name,total,From_cell_phone,From_cell_phone_Female,From_cell_phone_Male,From_elsewhere,From_elsewhere_Female,From_elsewhere_Male,From_home,From_home_Female,From_home_Male,From_work,From_work_Female,From_work_Male,No_access_to_internet,No_access_to_internet_Female,No_access_to_internet_Male,province
ZA,South Africa,9848922,2010246,1039386,970860,649314,334591,314723,667322,333692,333630,291514,150220,141294,6230526,3108956,3121570,South Africa
WC044,George,32511,5769,3043,2726,1389,715,674,2931,1448,1483,1030,541,489,21392,10825,10567,Western Cape
WC047,Bitou,7563,1495,801,694,534,296,238,563,266,297,234,115,119,4737,2353,2384,Western Cape
WC048,Knysna,10590,1534,784,750,412,200,212,923,467,456,288,150,138,7433,3824,3609,Western Cape
WC051,Laingsburg,1174,187,91,96,69,32,37,22,13,9,26,13,13,870,435,435,Western Cape
WC052,Prince Albert,2227,392,200,192,44,23,21,85,47,38,39,16,23,1667,809,858,Western Cape
WC053,Beaufort West,8100,1109,570,539,368,175,193,407,211,196,169,96,73,6047,3002,3045,Western Cape
MP303,Mkhondo,30388,5747,2906,2841,1486,787,699,893,437,456,388,195,193,21874,11191,10683,Mpumalanga
MP311,Victor Khanye,13449,2818,1351,1467,574,304,270,728,329,399,345,168,177,8984,4333,4651,Mpumalanga
MP322,Mbombela,124261,32938,17237,15701,5049,2686,2363,6980,3494,3486,3887,2059,1828,75407,38441,36966,North West
NW373,Rustenburg,94464,20898,10339,10559,3865,1883,1982,5877,2874,3003,3228,1597,1631,60596,28880,31716,North West
NW384,Ditsobotla,29623,5884,2987,2897,895,483,412,1067,488,579,561,278,283,21216,10570,10646,North West
NW396,Lekwa-Teemane,9542,1680,835,845,186,89,97,242,120,122,134,83,51,7300,3560,3740,Northern Cape
NC062,Nama Khoi,7474,1420,788,632,150,64,86,324,168,156,213,116,97,5367,2545,2822,Northern Cape
NC071,Ubuntu,3075,548,276,272,50,23,27,74,23,51,59,32,27,2344,1164,1180,Northern Cape
NC077,Siyathemba,3463,577,300,277,182,102,80,134,79,55,58,18,40,2512,1235,1277,Northern Cape
NC085,Tsantsabane,6405,1277,615,662,157,84,73,382,173,209,156,76,80,4433,2085,2348,Northern Cape
NC094,Phokwane,11390,1993,1019,974,360,206,154,409,200,209,183,91,92,8445,4210,4235,Western Cape
WC012,Cederberg,8015,727,361,366,63,29,34,353,184,169,189,91,98,6683,3318,3365,Western Cape
WC024,Stellenbosch,32111,6630,3388,3242,2191,1107,1084,5125,2487,2638,1244,637,607,16921,8457,8464,Western Cape
WC033,Cape Agulhas,5233,798,424,374,156,77,79,472,225,247,142,78,64,3665,1890,1775,Western Cape
WC045,Oudtshoorn,16275,1884,992,892,379,196,183,910,462,448,340,179,161,12762,6334,6428,Eastern Cape
EC102,Blue Crane Route,5842,971,504,467,304,145,159,265,136,129,109,57,52,4193,2114,2079,Eastern Cape
EC103,Ikwezi,1655,287,151,136,22,12,10,43,21,22,18,9,9,1285,664,621,Eastern Cape
EC104,Makana,13703,2233,1236,997,506,279,227,1175,603,572,468,248,220,9321,4651,4670,Eastern Cape
EC106,Sundays River Valley,9350,1122,540,582,343,194,149,245,128,117,201,94,107,7439,3429,4010,Eastern Cape
EC107,Baviaans,2791,277,132,145,57,20,37,37,14,23,15,9,6,2405,1185,1220,Eastern Cape
EC108,Kouga,15662,2079,1093,986,425,211,214,1015,499,516,299,148,151,11844,5927,5917,Eastern Cape
EC109,Kou-Kamma,6658,803,412,391,365,173,192,259,139,120,194,96,98,5037,2398,2639,Eastern Cape
EC121,Mbhashe,52565,7179,3752,3427,928,488,440,456,236,220,332,185,147,43670,21429,22241,Eastern Cape
EC123,Great Kei,6651,826,395,431,81,46,35,106,68,38,47,18,29,5591,2537,3054,Eastern Cape
EC124,Amahlathi,22030,2997,1510,1487,645,299,346,318,164,154,207,108,99,17863,8338,9525,Eastern Cape
EC126,Ngqushwa,11929,2031,1055,976,256,117,139,214,86,128,100,43,57,9328,4290,5038,Eastern Cape
EC127,Nkonkobe,20868,3119,1506,1613,654,264,390,435,218,217,330,158,172,16330,7687,8643,Eastern Cape
EC131,Inxuba Yethemba,10946,1775,939,836,408,221,187,603,308,295,265,138,127,7895,3851,4044,Eastern Cape
EC132,Tsolwana,6254,912,479,433,128,63,65,117,70,47,63,40,23,5034,2423,2611,Eastern Cape
EC133,Inkwanca,4075,778,395,383,49,24,25,104,48,56,51,31,20,3093,1513,1580,Eastern Cape
EC134,Lukanji,36328,6832,3664,3168,3212,1660,1552,1655,832,823,864,461,403,23765,11443,12322,Eastern Cape
EC136,Emalahleni,22219,3073,1474,1599,541,246,295,407,221,186,150,67,83,18048,8453,9595,Eastern Cape
EC137,Engcobo,29717,3825,1962,1863,724,346,378,232,111,121,245,132,113,24691,12250,12441,Eastern Cape
EC138,Sakhisizwe,12602,1953,1005,948,460,223,237,285,130,155,123,62,61,9781,4550,5231,Eastern Cape
EC141,Elundini,28277,3136,1567,1569,439,222,217,414,201,213,257,128,129,24031,11313,12718,Eastern Cape
EC142,Senqu,27319,4389,2229,2160,625,306,319,343,170,173,212,116,96,21750,10730,11020,Eastern Cape
EC143,Maletswai,8080,1581,835,746,223,126,97,354,175,179,163,89,74,5759,2951,2808,Eastern Cape
EC153,Ngquza Hill,59256,7397,3764,3633,1905,984,921,676,317,359,564,270,294,48714,24246,24468,Eastern Cape
EC154,Port St Johns,34272,4385,2239,2146,758,375,383,379,192,187,236,115,121,28514,14418,14096,Eastern Cape
EC155,Nyandeni,64511,8905,4619,4286,1274,662,612,884,417,467,723,352,371,52725,26142,26583,Eastern Cape
EC156,Mhlontlo,40141,5553,2700,2853,775,377,398,414,203,211,308,147,161,33091,15968,17123,Eastern Cape
EC441,Matatiele,40868,5596,2711,2885,1095,562,533,557,286,271,455,228,227,33165,16213,16952,Eastern Cape
EC442,Umzimvubu,39521,6161,3210,2951,1223,639,584,475,229,246,343,161,182,31319,15475,15844,Eastern Cape
EC443,Mbizana,59967,7114,3559,3555,1457,769,688,689,338,351,539,291,248,50168,25808,24360,Eastern Cape
EC444,Ntabankulu,26501,2841,1498,1343,352,175,177,140,75,65,182,112,70,22986,11538,11448,Free State
FS161,Letsemeng,6727,1079,480,599,430,216,214,179,91,88,98,47,51,4941,2517,2424,Free State
FS162,Kopanong,8378,1401,686,715,826,414,412,224,111,113,108,52,56,5819,2961,2858,Free State
FS163,Mohokare,6414,1041,518,523,335,175,160,184,87,97,68,30,38,4786,2430,2356,Free State
